"file","type","variable","domain","model","experiment","ensemble","time"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_BNU-ESM_1pctCO2_r1i1p1_185001-198912.nc","data","co2","Amon","BNU-ESM","1pctCO2","r1i1p1","185001-198912"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_BNU-ESM_esmHistorical_r1i1p1_185001-200512.nc","data","co2","Amon","BNU-ESM","esmHistorical","r1i1p1","185001-200512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_BNU-ESM_esmrcp85_r1i1p1_200601-210012.nc","data","co2","Amon","BNU-ESM","esmrcp85","r1i1p1","200601-210012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_BNU-ESM_historical_r1i1p1_185001-200512.nc","data","co2","Amon","BNU-ESM","historical","r1i1p1","185001-200512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_BNU-ESM_rcp26_r1i1p1_200601-210012.nc","data","co2","Amon","BNU-ESM","rcp26","r1i1p1","200601-210012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_BNU-ESM_rcp45_r1i1p1_200601-210012.nc","data","co2","Amon","BNU-ESM","rcp45","r1i1p1","200601-210012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_BNU-ESM_rcp85_r1i1p1_200601-210012.nc","data","co2","Amon","BNU-ESM","rcp85","r1i1p1","200601-210012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CanESM2_1pctCO2_r1i1p1_185001-198912.nc","data","co2","Amon","CanESM2","1pctCO2","r1i1p1","185001-198912"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CanESM2_esmHistorical_r1i1p1_185001-200512.nc","data","co2","Amon","CanESM2","esmHistorical","r1i1p1","185001-200512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CanESM2_esmHistorical_r2i1p1_185001-200512.nc","data","co2","Amon","CanESM2","esmHistorical","r2i1p1","185001-200512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CanESM2_esmHistorical_r3i1p1_185001-200512.nc","data","co2","Amon","CanESM2","esmHistorical","r3i1p1","185001-200512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CanESM2_esmrcp85_r1i1p1_200601-210012.nc","data","co2","Amon","CanESM2","esmrcp85","r1i1p1","200601-210012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CanESM2_esmrcp85_r2i1p1_200601-210012.nc","data","co2","Amon","CanESM2","esmrcp85","r2i1p1","200601-210012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CanESM2_esmrcp85_r3i1p1_200601-210012.nc","data","co2","Amon","CanESM2","esmrcp85","r3i1p1","200601-210012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_1pctCO2_r1i1p1_000101-005012.nc","data","co2","Amon","CESM1-BGC","1pctCO2","r1i1p1","000101-005012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_1pctCO2_r1i1p1_005101-014012.nc","data","co2","Amon","CESM1-BGC","1pctCO2","r1i1p1","005101-014012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_1pctCO2_r1i1p2_000101-005012.nc","data","co2","Amon","CESM1-BGC","1pctCO2","r1i1p2","000101-005012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_1pctCO2_r1i1p2_005101-014012.nc","data","co2","Amon","CESM1-BGC","1pctCO2","r1i1p2","005101-014012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_esmHistorical_r1i1p1_185001-189912.nc","data","co2","Amon","CESM1-BGC","esmHistorical","r1i1p1","185001-189912"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_esmHistorical_r1i1p1_190001-194912.nc","data","co2","Amon","CESM1-BGC","esmHistorical","r1i1p1","190001-194912"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_esmHistorical_r1i1p1_195001-200512.nc","data","co2","Amon","CESM1-BGC","esmHistorical","r1i1p1","195001-200512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_esmrcp85_r1i1p1_200601-204912.nc","data","co2","Amon","CESM1-BGC","esmrcp85","r1i1p1","200601-204912"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_esmrcp85_r1i1p1_205001-210012.nc","data","co2","Amon","CESM1-BGC","esmrcp85","r1i1p1","205001-210012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_historical_r1i1p1_185001-189912.nc","data","co2","Amon","CESM1-BGC","historical","r1i1p1","185001-189912"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_historical_r1i1p1_190001-194912.nc","data","co2","Amon","CESM1-BGC","historical","r1i1p1","190001-194912"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_historical_r1i1p1_195001-200512.nc","data","co2","Amon","CESM1-BGC","historical","r1i1p1","195001-200512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-BGC_rcp45_r1i1p1_200601-204912.nc","data","co2","Amon","CESM1-BGC","rcp45","r1i1p1","200601-204912"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_historical_r1i1p1_185001-200512.nc","data","co2","Amon","CESM1-WACCM","historical","r1i1p1","185001-200512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_historical_r2i1p1_195501-200512.nc","data","co2","Amon","CESM1-WACCM","historical","r2i1p1","195501-200512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_historical_r2i1p1_195501-200512.nc.csv","data","co2","Amon","CESM1-WACCM","historical","r2i1p1","195501-200512.csv"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_historical_r3i1p1_195501-200512.nc","data","co2","Amon","CESM1-WACCM","historical","r3i1p1","195501-200512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_historical_r3i1p1_195501-200512.nc.csv","data","co2","Amon","CESM1-WACCM","historical","r3i1p1","195501-200512.csv"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_historical_r4i1p1_195501-200512.nc","data","co2","Amon","CESM1-WACCM","historical","r4i1p1","195501-200512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_historical_r4i1p1_195501-200512.nc.csv","data","co2","Amon","CESM1-WACCM","historical","r4i1p1","195501-200512.csv"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_rcp26_r2i1p1_200601-209912.nc","data","co2","Amon","CESM1-WACCM","rcp26","r2i1p1","200601-209912"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_rcp26_r3i1p1_200601-205412.nc","data","co2","Amon","CESM1-WACCM","rcp26","r3i1p1","200601-205412"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_rcp26_r4i1p1_200601-205012.nc","data","co2","Amon","CESM1-WACCM","rcp26","r4i1p1","200601-205012"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_rcp45_r2i1p1_200601-209912.nc","data","co2","Amon","CESM1-WACCM","rcp45","r2i1p1","200601-209912"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_rcp45_r3i1p1_200501-206512.nc","data","co2","Amon","CESM1-WACCM","rcp45","r3i1p1","200501-206512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_rcp45_r3i1p1_200601-206512.nc","data","co2","Amon","CESM1-WACCM","rcp45","r3i1p1","200601-206512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_rcp45_r4i1p1_200501-206512.nc","data","co2","Amon","CESM1-WACCM","rcp45","r4i1p1","200501-206512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_CESM1-WACCM_rcp45_r4i1p1_200601-206512.nc","data","co2","Amon","CESM1-WACCM","rcp45","r4i1p1","200601-206512"
"/pic/projects/GCAM/CMIP5-KDorheim/archive/co2/co2_Amon_FIO-ESM_esmHistorical_r1i1p1_185001-200512.nc","data","co2","Amon","FIO-ESM","esmHistorical","r1i1p1","185001-200512"
